"Channel 3_x","Channel 3_y"
171.5834475,0.28,
172.5898607,0.2816,
173.5962687,0.2814,
174.6024706,0.2821,
175.6089303,0.2826,
176.6154695,0.2794,
177.6216798,0.2836,
178.6286945,0.28,
179.638026,0.2821,
180.644325,0.2817,
181.649864,0.2821,
182.656323,0.2817,
183.662472,0.2829,
184.6689563,0.2814,
185.67558,0.2849,
186.6864858,0.2846,
187.694504,0.2849,
188.7036154,0.2843,
189.7094145,0.2849,
190.7155285,0.2857,
191.7211983,0.2833,
192.7264764,0.283,
193.7327127,0.2836,
194.7384684,0.281,
195.7447636,0.2825,
196.7520013,0.2824,
197.7584774,0.2844,
198.7648027,0.2802,
199.7704737,0.2809,
200.7767718,0.2814,
201.7831888,0.2808,
202.7895315,0.279,
203.7959478,0.2804,
204.8022833,0.2808,
205.8086278,0.2812,
206.8149474,0.2797,
207.8212163,0.2819,
208.8274972,0.279,
209.8337142,0.2794,
210.8398454,0.2794,
211.8462348,0.2784,
212.8526092,0.2807,
213.8589182,0.2802,
214.8652318,0.2811,
215.8716631,0.2829,
216.8780336,0.2808,
217.884372,0.2784,
218.8908427,0.2647,
219.8972449,0.2684,
220.9035602,0.2667,
221.909832,0.2684,
222.9160831,0.2662,
223.9222975,0.2645,
224.9277837,0.2797,
225.9341371,0.2818,
226.9402544,0.2798,
227.9461188,0.2804,
228.952179,0.2813,
229.9584274,0.2803,
230.9646606,0.2819,
231.9698446,0.2791,
232.9761536,0.2799,
233.9819129,0.2778,
234.98823,0.279,
235.9944735,0.2816,
236.9999938,0.2804,
238.0061526,0.2845,
239.0124199,0.2805,
240.0186727,0.2805,
241.0248868,0.2807,
242.0311413,0.2794,
243.037282,0.2786,
244.0427666,0.2811,
245.049052,0.2807,
246.0551515,0.2816,
247.0614798,0.2824,
248.0676517,0.2806,
249.0738909,0.2831,
250.079859,0.281,
251.0861256,0.283,
252.0924211,0.2786,
253.0988417,0.2824,
254.1051686,0.2796,
255.1114969,0.2808,
256.1178958,0.2817,
257.124084,0.2814,
258.1303861,0.2809,
259.1368241,0.2811,
260.1431053,0.2789,
261.1494472,0.2783,
262.1558058,0.2819,
263.1620798,0.2802,
264.1683435,0.282,
265.174824,0.2829,
266.1811817,0.2813,
267.1874983,0.2796,
268.1940742,0.2806,
269.1998618,0.2821,
270.2062368,0.2788,
271.2126055,0.2822,
272.2187922,0.2792,
273.2246709,0.2805,
274.2310662,0.2812,
275.2373297,0.2802,
276.2437069,0.2799,
277.2498722,0.2806,
278.2561545,0.2806,
279.2622418,0.2849,
280.2684369,0.2813,
281.2743709,0.278,
282.2808003,0.2805,
283.2870402,0.283,
284.2929342,0.2794,
285.2992294,0.2817,
286.3054445,0.28,
287.3119233,0.2797,
288.3181129,0.2799,
289.3245573,0.2811,
290.3309193,0.2818,
291.3373308,0.2804,
292.3437276,0.2826,
293.3492777,0.2815,
294.3556869,0.2796,
295.3619783,0.2802,
296.3682499,0.2799,
297.3746252,0.2765,
298.3809793,0.2803,
299.3873045,0.2787,
300.3932509,0.2774,
301.3995097,0.2837,
302.4058833,0.2792,
303.4123154,0.2801,
304.4189034,0.2803,
305.4254053,0.2806,
306.4318986,0.2787,
307.4382665,0.2834,
308.4447396,0.2811,
309.450984,0.281,
310.4571433,0.2802,
311.4633517,0.2799,
312.4697223,0.2824,
