"Channel 1_x","Channel 1_y","Channel 2_x","Channel 2_y","Channel 3_x","Channel 3_y"
266.3429019,24.47,266.746022,23.64,267.1491764,18.79,
267.5524235,24.47,267.9554577,23.64,268.3587677,18.79,
268.7624476,24.49,269.1652901,23.64,269.5784001,18.79,
269.9824753,24.49,270.3855584,23.64,270.7885644,18.79,
271.1918702,24.47,271.595232,23.64,271.9985247,18.79,
272.4015911,24.47,272.8058448,23.64,273.212024,18.79,
273.62587,24.47,274.028563,23.64,274.4311497,18.79,
274.8337762,24.47,275.2370043,23.64,275.6398442,18.79,
276.0423381,24.49,276.4488814,23.64,276.8514118,18.79,
277.2539563,24.49,277.6562784,23.64,278.0590148,18.79,
278.461946,24.49,278.8655794,23.64,279.2687953,18.79,
279.67134,24.49,280.0793619,23.64,280.4841785,18.79,
280.8869157,24.47,281.2895408,23.64,281.6924889,18.79,
282.0949233,24.47,282.5036795,23.64,282.9108531,18.79,
283.3235712,24.49,283.730191,23.64,284.1326747,18.79,
284.5363069,24.49,284.9401066,23.64,285.3439465,18.79,
285.7478426,24.49,286.1513612,23.64,286.5546019,18.79,
286.9579642,24.49,287.3613288,23.64,287.764354,18.79,
288.1677165,24.5,288.5807858,23.64,288.9841864,18.79,
289.3873534,24.5,289.7897775,23.64,290.1918836,18.79,
290.5943379,24.48,290.9971533,23.64,291.4012339,18.79,
291.8055644,24.48,292.2093158,23.64,292.612663,18.79,
293.0158863,24.46,293.4196637,23.64,293.8229208,18.79,
294.2260101,24.46,294.6290183,23.64,295.0321176,18.79,
295.4362109,24.48,295.8391573,23.64,296.2419252,18.79,
296.6448202,24.5,297.0477459,23.64,297.4507632,18.79,
297.8532307,24.5,298.2552238,23.64,298.6572609,18.79,
299.0598743,24.49,299.4622655,23.64,299.8646071,18.79,
300.2675431,24.49,300.6701715,23.64,301.0820413,18.79,
301.4858711,24.49,301.8886893,23.64,302.2910688,18.79,
302.693769,24.49,303.096576,23.64,303.4994521,18.79,
303.9029095,24.51,304.3059878,23.64,304.7084422,18.79,
305.1104429,24.51,305.5118392,23.64,305.9139178,18.79,
306.315696,24.49,306.7174013,23.64,307.1191242,18.79,
307.5212185,24.49,307.9238272,23.64,308.3256536,18.79,
308.727354,24.49,309.1293831,23.64,309.5316105,18.79,
309.9340596,24.49,310.3367574,23.64,310.7386162,18.79,
311.1401529,24.5,311.5417426,23.64,311.9437344,18.79,
312.3458595,24.5,312.7475414,23.64,313.1495178,18.79,
313.5524571,24.49,313.9553545,23.64,314.3583541,18.79,
314.7622144,24.49,315.1661215,23.63,315.5768549,18.79,
315.9804363,24.5,316.3829107,23.63,316.785193,18.79,
317.1880543,24.5,317.5919833,23.63,317.9940839,18.79,
318.3961241,24.49,318.7985277,23.63,319.2012546,18.79,
319.6041591,24.49,320.0075266,23.63,320.4131565,18.79,
320.8165054,24.52,321.2190127,23.63,321.6207922,18.79,
322.0230546,24.52,322.4254494,23.63,322.8276594,18.79,
323.2300029,24.49,323.6385596,23.63,324.0405047,18.79,
324.4429302,24.49,324.8458743,23.63,325.2551444,18.79,
325.6585519,24.49,326.0656557,23.63,326.4694972,18.79,
326.8766177,24.49,327.2802153,23.63,327.6837337,18.79,
328.0866318,24.49,328.4896479,23.63,328.8988905,18.79,
329.3021216,24.51,329.7053454,23.63,330.1084502,18.79,
330.5116229,24.51,330.9145541,23.63,331.317163,18.79,
331.7208426,24.51,332.1229722,23.63,332.5253675,18.79,
332.9276166,24.51,333.3298752,23.63,333.7396288,18.79,
334.1449924,24.51,334.548377,23.63,334.9506938,18.79,
335.3534408,24.51,335.7567747,23.63,336.1643624,18.79,
336.5795505,24.51,336.9831026,23.63,337.3856673,18.79,
337.7877591,24.51,338.1897731,23.63,338.5915964,18.79,
338.9939823,24.51,339.3967845,23.63,339.7993603,18.79,
340.2022114,24.52,340.6055889,23.63,341.0089762,18.79,
341.4123688,24.52,341.8154798,23.63,342.2185113,18.79,
342.6206129,24.51,343.0237427,23.63,343.4277744,18.79,
343.8341813,24.5,344.2430136,23.63,344.6457067,18.79,
345.0480042,24.5,345.4500928,23.63,345.8527367,18.79,
346.2564051,24.51,346.6590438,23.62,347.0610764,18.79,
347.4683948,24.51,347.8728185,23.62,348.2783451,18.79,
348.6887729,24.51,349.0927298,23.62,349.4957378,18.79,
349.898936,24.51,350.301662,23.62,350.7046564,18.79,
351.1084495,24.51,351.5119016,23.62,351.9160464,18.79,
352.3199265,24.52,352.7231581,23.62,353.1261466,18.79,
353.5289962,24.52,353.9315112,23.61,354.334357,18.79,
354.7376552,24.52,355.1402681,23.61,355.5433645,18.79,
355.9460869,24.52,356.349318,23.62,356.7521973,18.79,
357.1552422,24.5,357.557796,23.62,357.960413,18.79,
358.3631668,24.5,358.7655082,23.62,359.1679389,18.79,
359.5776744,24.51,359.9819281,23.62,360.3846834,18.79,
360.7875648,24.51,361.1904967,23.62,361.5931339,18.79,
361.9954894,24.52,362.398453,23.62,362.8016903,18.79,
363.2048583,24.52,363.608067,23.62,364.0113208,18.79,
364.4140644,24.52,364.8167963,23.62,365.2196891,18.79,
365.6223741,24.55,366.0248344,23.62,366.428108,18.79,
366.8318453,24.55,367.235214,23.62,367.6385753,18.79,
368.0413723,24.53,368.4447703,23.62,368.8479004,18.79,
369.2514331,24.53,369.6542819,23.62,370.0574896,18.79,
370.4608483,24.53,370.8643272,23.62,371.2674425,18.79,
371.6704383,24.53,372.0815208,23.61,372.488291,18.79,
372.8916979,24.55,373.2945387,23.61,373.6975756,18.79,
374.099973,24.55,374.50247,23.61,374.9056871,18.79,
375.3092284,24.55,375.7118382,23.61,376.114397,18.79,
376.5176857,24.55,376.920414,23.61,377.3233826,18.79,
377.7261198,24.55,378.128552,23.61,378.5309057,18.79,
378.9332433,24.53,379.3353999,23.61,379.7379901,18.79,
380.1408434,24.53,380.5427945,23.61,380.9448111,18.79,
381.3473387,24.53,381.75032,23.61,382.152786,18.8,
382.5551252,24.5,382.9574854,23.61,383.3602519,18.8,
383.7627065,24.5,384.1648562,23.61,384.574702,18.8,
384.98333,24.55,385.3857596,23.61,385.7879839,18.8,
386.1901851,24.55,386.5924959,23.61,386.9950075,18.8,
387.3973248,24.54,387.7999084,23.61,388.2029738,18.8,
388.6062479,24.54,389.0091677,23.6,389.4118717,18.8,
389.814481,24.54,390.2168417,23.6,390.6195388,18.8,
391.0222766,24.54,391.4251268,23.6,391.8272305,18.79,
392.2296662,24.54,392.631685,23.6,393.033834,18.79,
393.4363461,24.55,393.8386452,23.6,394.2411025,18.79,
394.6443608,24.55,395.0474219,23.6,395.4496679,18.79,
395.8520329,24.55,396.254324,23.6,396.6564875,18.79,
397.0586636,24.55,397.4609888,23.6,397.8631957,18.79,
398.2661598,24.56,398.6691008,23.6,399.0749292,18.79,
399.4862561,24.56,399.8889287,23.6,400.2907755,18.79,
400.6922619,24.53,401.0937254,23.6,401.4955721,18.79,
401.8979201,24.53,402.2994406,23.6,402.7011178,18.79,
403.1030462,24.53,403.5052018,23.6,403.9076664,18.79,
404.3107133,24.53,404.713136,23.6,405.1159759,18.79,
405.5189466,24.53,405.922188,23.6,406.3254733,18.79,
406.7288475,24.53,407.1317744,23.6,407.5343058,18.79,
407.9367185,24.54,408.33916,23.6,408.7415359,18.79,
409.1436718,24.54,409.5455787,23.6,409.9472818,18.79,
410.3492436,24.54,410.7518499,23.6,411.1546268,18.79,
411.557121,24.54,411.9591558,23.6,412.3615742,18.79,
412.7649674,24.54,413.1680529,23.6,413.5827744,18.79,
413.9860806,24.55,414.3897352,23.6,414.7931826,18.79,
415.1963184,24.56,415.5988853,23.6,416.0011632,18.79,
416.4037955,24.56,416.8064842,23.6,417.2092559,18.79,
417.6121883,24.56,418.014796,23.6,418.4173217,18.79,
418.8196654,24.56,419.2220128,23.6,419.6241534,18.79,
420.0270636,24.56,420.4294508,23.6,420.8324232,18.79,
421.2350914,24.56,421.6371627,23.6,422.0392222,18.79,
422.4413736,24.56,422.843776,23.6,423.2463977,18.79,
423.6492708,24.54,424.051399,23.6,424.4532084,18.79,
424.8555017,24.54,425.2574675,23.59,425.6594429,18.79,
426.0713568,24.55,426.4813631,23.59,426.8836513,18.79,
427.2860303,24.55,427.6882529,23.59,428.0908098,18.79,
428.4942336,24.55,428.8964243,23.59,429.2980318,18.79,
429.700228,24.59,430.1024017,23.59,430.5042629,18.79,
430.9065874,24.59,431.3087778,23.59,431.7110646,18.79,
432.1131394,24.59,432.5157363,23.59,432.9179773,18.79,
433.3200316,24.59,433.7217174,23.59,434.123584,18.79,
434.5253432,24.58,434.9274611,23.59,435.3295596,18.79,
435.7322221,24.58,436.1347344,23.59,436.5370033,18.79,
436.9392786,24.56,437.3419306,23.59,437.7442,18.79,
438.1464615,24.56,438.54844,23.59,438.9503677,18.79,
439.3526866,24.56,439.7545576,23.59,440.1570005,18.79,
440.5601692,24.56,440.9628034,23.59,441.3654149,18.8,
441.7682748,24.56,442.1707337,23.59,442.5747807,18.8,
442.9794788,24.56,443.3818841,23.59,443.7842155,18.8,
444.1864707,24.58,444.5885134,23.59,444.9908295,18.8,
445.3933535,24.58,445.7953479,23.59,446.197721,18.8,
446.599699,24.58,447.0016189,23.59,447.4036603,18.8,
447.8055825,24.58,448.207777,23.58,448.6103299,18.8,
449.012943,24.58,449.4154079,23.58,449.8178673,18.8,
450.2205355,24.58,450.6230161,23.58,451.0254738,18.8,
451.4281459,24.58,451.8306899,23.58,452.2330918,18.8,
452.6352859,24.59,453.0380249,23.58,453.4403183,18.8,
453.8429375,24.59,454.2449121,23.58,454.6472096,18.8,
455.0499573,24.59,455.4530659,23.58,455.8559031,18.8,
456.258563,24.59,456.6610699,23.58,457.0711863,18.8,
457.4827311,24.59,457.8852227,23.58,458.287914,18.8,
458.6910629,24.58,459.0935125,23.58,459.4958606,18.8,
459.8983312,24.58,460.3011625,23.58,460.7035503,18.8,
461.1056464,24.59,461.5073848,23.58,461.9091461,18.8,
462.3114922,24.59,462.7142787,23.58,463.1166317,18.8,
463.5191438,24.6,463.9215355,23.59,464.3239529,18.8,
464.7264991,24.6,465.1290629,23.59,465.5311756,18.8,
465.933897,24.6,466.336148,23.58,466.7383111,18.8,
467.1413586,24.58,467.5447254,23.58,467.9480033,18.8,
468.3510494,24.58,468.7534175,23.59,469.1555848,18.81,
469.557827,24.58,469.9606566,23.59,470.3638563,18.81,
470.7665205,24.58,471.1686091,23.58,471.5723541,18.81,
471.9813728,24.58,472.3825531,23.58,472.7837977,18.81,
473.1848121,24.58,473.587043,23.58,473.9895329,18.81,
474.3906879,24.58,474.7918949,23.58,475.1936414,18.81,
475.5955443,24.58,475.9972537,23.58,476.3982623,18.81,
476.8002317,24.59,477.201664,23.58,477.6027887,18.81,
478.0044446,24.62,478.406023,23.58,478.8074844,18.81,
479.2082832,24.62,479.6092017,23.58,480.0099912,18.81,
480.4110167,24.6,480.8119593,23.58,481.2131207,18.81,
481.6149931,24.6,482.0162117,23.58,482.4174526,18.81,
482.8187425,24.59,483.2202177,23.58,483.6220648,18.81,
484.0239775,24.59,484.4259336,23.58,484.8275647,18.81,
485.2289827,24.62,485.6305726,23.58,486.0321665,18.81,
486.4335892,24.62,486.835047,23.58,487.2369292,18.81,
487.6391129,24.62,488.0406535,23.58,488.4421527,18.82,
488.8438559,24.62,489.245542,23.58,489.6475136,18.82,
490.0495198,24.62,490.4515145,23.58,490.8534937,18.82,
491.2557135,24.62,491.6578786,23.58,492.0592999,18.82,
