"Channel 1_x","Channel 1_y","Channel 2_x","Channel 2_y","Channel 3_x","Channel 3_y"
966.1154013,23.98,967.7842934,20.51,969.4533613,19.99,
971.1226599,23.97,972.7920461,20.51,974.4621119,19.99,
976.1315925,23.97,977.8017986,20.51,979.4714024,19.99,
981.1408024,23.97,982.8107522,20.51,984.4802032,19.98,
986.149843,23.97,987.8193233,20.51,989.489419,19.98,
991.1593242,23.99,992.827848,20.5,994.4976537,19.98,
996.1667888,23.99,997.8365009,20.5,999.5053267,19.98,
1001.174765,23.99,1002.844567,20.5,1004.513855,19.98,
1006.183617,23.99,1007.852886,20.5,1009.523166,19.98,
1011.193813,23.99,1012.864126,20.51,1014.533984,19.98,
1016.203887,23.99,1017.873087,20.51,1019.543252,19.98,
1021.21236,23.98,1022.880786,20.51,1024.550198,19.97,
1026.220164,23.98,1027.889885,20.51,1029.55961,19.97,
1031.229054,23.98,1032.897881,20.51,1034.567129,19.97,
1036.236465,23.98,1037.905758,20.51,1039.575757,19.97,
1041.245949,24,1042.914386,20.51,1044.583404,19.97,
1046.253466,24,1047.922019,20.51,1049.590461,19.97,
1051.260434,24,1052.929902,20.51,1054.598996,19.97,
1056.268228,24,1057.937736,20.51,1059.607695,19.97,
1061.277633,24,1062.946451,20.51,1064.616295,19.97,
1066.285592,23.98,1067.954548,20.51,1069.624007,19.97,
1071.294302,23.98,1072.963725,20.51,1074.632836,19.97,
1076.302535,23.99,1077.971816,20.51,1079.640996,19.97,
1081.310105,23.99,1082.97989,20.51,1084.64962,19.97,
1086.319276,23.99,1087.988444,20.5,1089.658586,19.97,
1091.327859,24,1092.997557,20.5,1094.666818,19.97,
1096.336605,24,1098.00652,20.51,1099.676501,19.97,
1101.345896,24,1103.015201,20.51,1104.684341,19.97,
1106.353838,24,1108.023004,20.51,1109.69217,19.97,
1111.361228,23.99,1113.0307,20.51,1114.699695,19.97,
1116.377193,23.99,1118.046413,20.51,1119.717119,19.97,
1121.387483,23.99,1123.057454,20.51,1124.726802,19.97,
1126.396201,24,1128.06605,20.51,1129.736012,19.97,
1131.404942,24,1133.074255,20.51,1134.74392,19.97,
1136.415803,24,1138.085415,20.51,1139.755191,19.97,
1141.424261,24.01,1143.093633,20.51,1144.762992,19.97,
1146.432597,24.01,1148.101803,20.51,1149.771479,19.96,
1151.440963,24.01,1153.111214,20.51,1154.780445,19.96,
1156.449305,23.99,1158.117761,20.51,1159.786654,19.96,
1161.455976,23.99,1163.12535,20.51,1164.794988,19.96,
1166.464175,24,1168.134257,20.51,1169.804084,19.96,
1171.473673,24,1173.142577,20.51,1174.811784,19.96,
1176.481365,23.99,1178.150294,20.51,1179.819599,19.96,
1181.488716,23.99,1183.157562,20.51,1184.826689,19.96,
1186.49564,23.99,1188.165144,20.51,1189.834301,19.96,
1191.503083,23.99,1193.172456,20.51,1194.841322,19.96,
1196.510805,23.99,1198.180057,20.51,1199.848866,19.96,
1201.517389,24,1203.186234,20.51,1204.855623,19.96,
1206.52453,24,1208.193609,20.51,1209.863209,19.96,
1211.532844,24,1213.202259,20.51,1214.871543,19.96,
1216.541535,24,1218.211632,20.51,1219.881338,19.96,
1221.550786,24.01,1223.220484,20.51,1224.889701,19.96,
1226.559183,24.01,1228.228547,20.51,1229.897785,19.96,
1231.567295,24.01,1233.237005,20.51,1234.906305,19.96,
1236.576104,24.01,1238.246013,20.51,1239.915086,19.96,
1241.584197,24.01,1243.253542,20.51,1244.92263,19.96,
1246.592726,24.01,1248.262435,20.51,1249.931445,19.96,
1251.600936,24.02,1253.270341,20.51,1254.939206,19.96,
1256.608402,24.02,1258.277873,20.51,1259.947119,19.96,
1261.616915,24.01,1263.286458,20.51,1264.956655,19.96,
1266.625412,24.01,1268.294409,20.51,1269.964241,19.96,
1271.634271,24.01,1273.303706,20.51,1274.973567,19.96,
1276.643142,24,1278.312785,20.51,1279.98278,19.96,
1281.653237,24,1283.323003,20.51,1284.992361,19.95,
1286.661859,24,1288.330812,20.51,1290.000144,19.95,
1291.669617,24,1293.338662,20.51,1295.007905,19.95,
1296.677392,24.01,1298.346998,20.51,1300.016491,19.95,
1301.686641,24.01,1303.35671,20.51,1305.025792,19.95,
1306.694685,24.01,1308.364162,20.51,1310.034323,19.95,
1311.704461,24.02,1313.373877,20.51,1315.043739,19.95,
1316.713384,24.02,1318.383334,20.51,1320.053567,19.95,
1321.722778,24.01,1323.392866,20.51,1325.062644,19.95,
1326.732134,24.01,1328.402146,20.51,1330.071365,19.95,
1331.740543,24.01,1333.410281,20.51,1335.079945,19.95,
1336.749807,24.01,1338.419281,20.51,1340.088652,19.95,
1341.758534,24.01,1343.427992,20.51,1345.114699,19.94,
1346.788747,24.01,1348.458563,20.51,1350.128884,19.94,
1351.80115,24.01,1353.470542,20.51,1355.141108,19.95,
1356.81108,24.03,1358.480635,20.51,1360.150092,19.95,
1361.819999,24.03,1363.490587,20.51,1365.160205,19.95,
1366.829565,24.03,1368.50001,20.51,1370.170091,19.95,
1371.840266,24.03,1373.51043,20.51,1375.179861,19.95,
1376.849132,24.03,1378.519356,20.51,1380.189212,19.95,
1381.859186,24.03,1383.529019,20.51,1385.198092,19.95,
1386.867053,24.03,1388.536637,20.51,1390.206183,19.95,
1391.87594,24.03,1393.545993,20.51,1395.21581,19.95,
1396.885294,24.03,1398.555264,20.51,1400.2244,19.95,
1401.893958,24.03,1403.563082,20.51,1405.232845,19.95,
1406.902857,24.03,1408.572714,20.51,1410.243301,19.94,
1411.913264,24.03,1413.583254,20.51,1415.252932,19.94,
1416.92155,24.03,1418.590285,20.51,1420.259199,19.94,
1421.928864,24.04,1423.598285,20.51,1425.268465,19.94,
1426.9385,24.04,1428.608168,20.51,1430.278128,19.94,
1431.948129,24.04,1433.617841,20.51,1435.287294,19.94,
1436.956957,24.04,1438.626927,20.51,1440.296542,19.95,
1441.966319,24.03,1443.636641,20.51,1445.306131,19.95,
1446.975622,24.03,1448.64543,20.51,1450.31559,19.95,
1451.985603,24.05,1453.655179,20.51,1455.324292,19.95,
1456.993795,24.05,1458.663015,20.51,1460.33302,19.95,
1462.003621,24.04,1463.673212,20.51,1465.342775,19.95,
1467.012501,24.04,1468.681507,20.51,1470.35079,19.96,
1472.02043,24.06,1473.688784,20.51,1475.358251,19.96,
1477.027478,24.06,1478.696968,20.51,1480.366675,19.96,
1482.036852,24.05,1483.707026,20.51,1485.376575,19.97,
1487.045756,24.04,1488.71517,20.51,1490.384603,19.97,
1492.054767,24.04,1493.72537,20.51,1495.395113,19.97,
1497.064753,24.06,1498.734709,20.51,1500.404268,19.97,
1502.074019,24.07,1503.743666,20.51,1505.413208,19.97,
1507.082579,24.07,1508.751601,20.51,1510.421243,19.97,
1512.091371,24.07,1513.76033,20.51,1515.429559,19.97,
1517.098451,24.05,1518.766913,20.51,1520.436786,19.97,
1522.105842,24.05,1523.774879,20.51,1525.443662,19.97,
1527.112491,24.05,1528.781708,20.51,1530.451476,19.96,
1532.121259,24.05,1533.790488,20.51,1535.459757,19.96,
1537.128277,24.05,1538.797243,20.51,1540.465771,19.96,
1542.134983,24.05,1543.803481,20.51,1545.472572,19.96,
1547.14194,24.06,1548.81093,20.51,1550.480357,19.97,
1552.150661,24.06,1553.819737,20.5,1555.488795,19.97,
1557.159017,24.06,1558.829454,20.5,1560.499353,19.98,
1562.169451,24.06,1563.838841,20.51,1565.509036,19.98,
1567.178521,24.06,1568.84849,20.51,1570.518531,19.98,
1572.187852,24.06,1573.857182,20.51,1575.527245,19.98,
1577.19738,24.06,1578.866911,20.5,1580.536857,19.98,
1582.206405,24.06,1583.876604,20.5,1585.546795,19.98,
1587.216484,24.06,1588.886358,20.5,1590.555826,19.98,
1592.225326,24.06,1593.895753,20.5,1595.564964,19.98,
1597.234197,24.06,1598.902272,20.5,1600.571927,19.99,
1602.241624,24.06,1603.911081,20.5,1605.580141,19.99,
1607.249805,24.06,1608.919424,20.5,1610.589648,19.99,
1612.260674,24.06,1613.931996,20.51,1615.603025,19.99,
1617.273657,24.06,1618.944073,20.51,1620.614507,19.99,
1622.285792,24.06,1623.956284,20.51,1625.627196,20,
1627.298673,24.06,1628.969866,20.51,1630.640849,20,
1632.311616,24.07,1633.98283,20.51,1635.653403,20,
1637.324579,24.07,1638.995751,20.51,1640.666024,20,
1642.337159,24.07,1644.007998,20.51,1645.678728,20.01,
1647.349433,24.06,1649.020281,20.51,1650.690482,20.01,
1652.360832,24.06,1654.031056,20.51,1655.700962,20.01,
1657.371638,24.07,1659.041743,20.51,1660.711801,20.01,
1662.382253,24.08,1664.052692,20.51,1665.723033,20.01,
1667.393905,24.08,1669.06529,20.51,1670.736132,20.01,
1672.406678,24.08,1674.076869,20.51,1675.747738,20.02,
1677.417935,24.06,1679.087967,20.51,1680.758701,20.02,
1682.428673,24.06,1684.098545,20.51,1685.769413,20.02,
1687.44055,24.06,1689.110156,20.51,1690.781203,20.02,
1692.451575,24.06,1694.121671,20.51,1695.791908,20.02,
1697.46202,24.07,1699.132574,20.51,1700.802529,20.03,
1702.473276,24.07,1704.143843,20.51,1705.813942,20.03,
1707.483987,24.07,1709.154602,20.51,1710.824548,20.03,
1712.494205,24.06,1714.163983,20.51,1715.834136,20.03,
1717.504773,24.06,1719.174967,20.51,1720.846282,20.03,
1722.51735,24.07,1724.187438,20.51,1725.85779,20.03,
1727.527796,24.07,1729.197992,20.51,1730.868228,20.03,
1732.539524,24.07,1734.209593,20.51,1735.880207,20.04,
1737.550486,24.07,1739.220553,20.51,1740.891174,20.04,
1742.561052,24.06,1744.230782,20.51,1745.901241,20.04,
1747.571976,24.06,1749.242132,20.51,1750.912815,20.04,
1752.583329,24.08,1754.253552,20.51,1755.922352,20.04,
1757.592163,24.08,1759.261145,20.51,1760.931123,20.05,
1762.600498,24.08,1764.270173,20.51,1765.939633,20.05,
1767.609476,24.08,1769.279786,20.51,1770.949283,20.05,
1772.61901,24.08,1774.288203,20.51,1775.957904,20.05,
1777.62728,24.08,1779.296597,20.51,1780.966663,20.05,
1782.636398,24.08,1784.305561,20.51,1785.974463,20.05,
1787.643806,24.09,1789.312983,20.51,1790.982073,20.06,
1792.652191,24.09,1794.321614,20.51,1795.991103,20.06,
1797.661555,24.09,1799.331129,20.51,1801.000563,20.06,
1802.670367,24.09,1804.339782,20.51,1806.009398,20.06,
1807.679914,24.09,1809.350503,20.51,1811.020316,20.06,
1812.690453,24.09,1814.360316,20.51,1816.030728,20.06,
1817.700583,24.09,1819.371164,20.51,1821.041424,20.06,
